instruction,response,category,source,difficulty
How often should I change my engine oil?,"Most vehicles require an oil change every 5,000 to 7,500 miles, or every 6 months, whichever comes first. However, you should always check your vehicle's owner's manual for the manufacturer's specific recommendations. Some newer vehicles with synthetic oil can go up to 10,000 miles between changes. Regular oil changes are crucial for engine health and longevity.",oil_change,generated_basic,beginner
What does the check engine light mean?,The check engine light (CEL) indicates that your vehicle's onboard diagnostic system has detected a problem. It could be something minor like a loose gas cap or something more serious like an engine misfire. You should have your vehicle diagnosed by a mechanic or use an OBD-II scanner to read the error codes. Don't ignore it - even minor issues can lead to expensive repairs if left unchecked.,diagnostics,generated_basic,beginner
How do I check my tire pressure?,"To check tire pressure: 1) Use a tire pressure gauge (digital or analog), 2) Remove the valve cap from your tire, 3) Press the gauge firmly onto the valve stem, 4) Read the pressure reading, 5) Compare it to the recommended PSI found in your owner's manual or on the driver's side door jamb sticker. Check when tires are cold (before driving) for accurate readings. Most passenger cars require 30-35 PSI.",tires,generated_basic,beginner
When should I replace my car battery?,"Car batteries typically last 3-5 years. Signs you need a replacement include: slow engine cranking, dimming headlights, battery warning light, corrosion on terminals, or if your battery is over 3 years old and you're experiencing starting issues. Extreme temperatures can shorten battery life. Have your battery tested annually after it's 3 years old.",electrical,generated_basic,beginner
What is the difference between synthetic and conventional oil?,"Synthetic oil is chemically engineered to provide better protection and performance than conventional oil. It flows better in cold temperatures, resists breakdown at high temperatures, and can last longer between changes. Conventional oil is derived directly from crude oil. Synthetic oil is more expensive but offers superior engine protection, especially in extreme conditions. Many modern vehicles require synthetic oil.",oil_change,generated_basic,intermediate
How often should I rotate my tires?,"Tires should be rotated every 5,000 to 8,000 miles, or according to your vehicle's maintenance schedule. Tire rotation helps ensure even wear across all tires, extending their lifespan and improving handling. The rotation pattern depends on whether your vehicle is front-wheel drive, rear-wheel drive, or all-wheel drive. Some vehicles have directional tires that can only rotate front-to-back.",tires,generated_basic,beginner
What should I do if my car overheats?,"If your car overheats: 1) Turn off the AC and turn on the heater to help dissipate heat, 2) Pull over safely as soon as possible, 3) Turn off the engine and let it cool for at least 15-20 minutes, 4) Check coolant level (only when engine is cool - never open a hot radiator), 5) If coolant is low, add coolant/water mix, 6) If problem persists, call for roadside assistance. Never continue driving an overheating vehicle as it can cause severe engine damage.",cooling_system,generated_basic,intermediate
How do I know if my brake pads need replacement?,"Signs of worn brake pads include: squealing or grinding noises when braking, vibration in steering wheel or brake pedal, longer stopping distances, brake pad warning light, or visible wear (pads less than 1/4 inch thick). Most brake pads last 30,000-70,000 miles depending on driving habits. Have your brakes inspected if you notice any of these signs - brake safety is critical.",brakes,generated_basic,beginner
What does it mean if my car is making a clicking sound when starting?,"A clicking sound when starting usually indicates a dead or weak battery. The clicking is the starter solenoid trying to engage but not having enough power. Other possible causes include: corroded battery terminals, loose battery connections, or a faulty starter motor. First, check battery voltage and connections. If battery is good, the starter motor may need replacement.",electrical,generated_basic,intermediate
How often should I replace my air filter?,"The air filter should typically be replaced every 12,000 to 15,000 miles, or once a year. However, if you drive in dusty conditions, you may need to replace it more frequently. A dirty air filter reduces fuel efficiency and engine performance. You can check it visually - if it looks dirty or clogged, replace it. Air filters are inexpensive and easy to replace yourself.",engine,generated_basic,beginner
